ZIP Code,ZIP3 Region,Town,Metro,Primary County,Total Population,Median Household Income
94601,946,Oakland,San Francisco-Oakland-Berkeley,Alameda,3778,107097
94501,945,Oakland,San Francisco-Oakland-Berkeley,Alameda,29756,71579
94560,945,Oakland,San Francisco-Oakland-Berkeley,Alameda,71982,57790
94587,945,Berkeley,San Francisco-Oakland-Berkeley,Alameda,4665,42811
94580,945,Oakland,San Francisco-Oakland-Berkeley,Alameda,29157,95990
94514,945,Oakland,San Francisco-Oakland-Berkeley,Alameda,74063,87124
94703,947,Concord,San Francisco-Oakland-Berkeley,Contra Costa,29393,152757
95601,956,Sacramento,Sacramento-Roseville-Folsom,Sacramento,1351,76853
95669,956,Sacramento,Sacramento-Roseville-Folsom,Sacramento,45097,107842
95901,959,Marysville,Yuba City,Yuba,28721,123236
95974,959,Marysville,Yuba City,Yuba,12656,134595
95914,959,Marysville,Yuba City,Yuba,47552,125165
95246,952,Stockton,Stockton,San Joaquin,6195,155435
95979,959,Marysville,Yuba City,Yuba,50115,55656
94549,945,Berkeley,San Francisco-Oakland-Berkeley,Alameda,82897,129800
94595,945,Oakland,San Francisco-Oakland-Berkeley,Alameda,9616,47012
94506,945,Oakland,San Francisco-Oakland-Berkeley,Alameda,38430,55916
94806,948,Walnut Creek,San Francisco-Oakland-Berkeley,Contra Costa,13738,134647
94801,948,Antioch,San Francisco-Oakland-Berkeley,Contra Costa,59929,130638
94803,948,Walnut Creek,San Francisco-Oakland-Berkeley,Contra Costa,49020,128132
94553,945,Oakland,San Francisco-Oakland-Berkeley,Alameda,35493,53717
94530,945,Oakland,San Francisco-Oakland-Berkeley,Alameda,70510,99175
94572,945,Oakland,San Francisco-Oakland-Berkeley,Alameda,61089,134471
95567,955,Arcata,Eureka-Arcata,Humboldt,84386,92570
93608,936,Fresno,Fresno,Fresno,7831,95043
93612,936,Fresno,Fresno,Fresno,41847,140162
93630,936,Fresno,Fresno,Fresno,9175,90307
93606,936,Fresno,Fresno,Fresno,28369,165870
93646,936,Fresno,Fresno,Fresno,84759,155285
93664,936,Fresno,Fresno,Fresno,35218,71603
93703,937,Fresno,Fresno,Fresno,74079,176289
93234,932,Bakersfield,Bakersfield,Kern,77122,147311
93616,936,Fresno,Fresno,Fresno,47947,92493
95503,955,Eureka,Eureka-Arcata,Humboldt,67284,164372
95554,955,Eureka,Eureka-Arcata,Humboldt,6675,63743
95560,955,Eureka,Eureka-Arcata,Humboldt,82740,76938
